Date,Nifty,Gold,Liquid
2002-01-10,1098.2,287.4,118.25986837405328
2002-01-11,1088.55,287.7,118.2820131014057
2002-01-12,1088.55,287.7,118.30416197546448
2002-01-13,1088.55,287.7,118.32631499700612
2002-01-14,1109.8,285.7,118.34847216680724
2002-01-15,1094.15,284.7,118.37063348564466
2002-01-16,1090.3,287.6,118.39279895429527
2002-01-17,1109.2,284.7,118.41456603801971
2002-01-18,1093.15,283.4,118.43633712372689
2002-01-19,1093.15,283.4,118.45811221215251
2002-01-20,1093.15,283.4,118.4798913040326
2002-01-21,1091.35,283.4,118.50167440010313
2002-01-22,1092.85,281.8,118.52346150110029
2002-01-23,1089.4,278.9,118.54525260776045
2002-01-24,1085.3,278.4,118.56664499174266
2002-01-25,1080.1,279.1,118.58804123614176
2002-01-26,1080.1,279.1,118.60944134165436
2002-01-27,1080.1,279.1,118.63084530897724
2002-01-28,1071.35,278.5,118.65225313880728
2002-01-29,1071.65,281.4,118.6736648318415
2002-01-30,1067.45,282.9,118.69508038877706
2002-01-31,1075.4,282.9,118.71636550601475
2002-02-01,1081.65,286.8,118.737654440228
2002-02-02,1081.65,286.8,118.75894719210125
2002-02-03,1081.65,286.8,118.78024376231907
2002-02-04,1076.9,290.1,118.80154415156623
2002-02-05,1074.25,299.1,118.8228483605276
2002-02-06,1113.1,298.3,118.84415638988813
2002-02-07,1110.45,300.6,118.8647958754481
2002-02-08,1123.75,304.4,118.88543894543643
2002-02-09,1123.75,304.4,118.90608560047563
2002-02-10,1123.75,304.4,118.9267358411883
2002-02-11,1131.55,300.8,118.94738966819716
